标题： 求老片《太空学校》《方舟二号》《太空勇士加森》和《幽默警探》 	 链接：http://tieba.baidu.com//p/4340453091 	 发帖人：司考奇82 	 发帖时间：2016-02 	 回复数量： 3 
标题： 有大佬有关于生活大爆炸全英文介绍的ppt嘛  英语课演讲需要 	 链接：http://tieba.baidu.com//p/5653458333 	 发帖人：你微笑时... 	 发帖时间：4-17 	 回复数量： 1 
标题： 跪求大神！ 	 链接：http://tieba.baidu.com//p/5649986538 	 发帖人：努力姑娘... 	 发帖时间：4-15 	 回复数量： 3 
标题： 【TBBT】整理了生活大爆炸1-11季🆎没看的吧友来拿 	 链接：http://tieba.baidu.com//p/5653255215 	 发帖人：帕拉丁20 	 发帖时间：4-17 	 回复数量： 4 
标题： 有人知道色色碰吗 	 链接：http://tieba.baidu.com//p/5653241205 	 发帖人：cc花濺涙32pC 	 发帖时间：4-17 	 回复数量： 0 
标题： 【TBBT】整理了生活大爆炸1-11季。 🆎超淸 中英双字 	 链接：http://tieba.baidu.com//p/5653013792 	 发帖人：你的小掰呀 	 发帖时间：4-17 	 回复数量： 2 
标题： 你们好，贵吧的朋友，能否方便告诉我一下，看TBBT前几季在那 	 链接：http://tieba.baidu.com//p/5652187581 	 发帖人：待我击败... 	 发帖时间：4-17 	 回复数量： 3 
标题： 霍华德这段简直笑死~ 	 链接：http://tieba.baidu.com//p/5391281888 	 发帖人：太保龙珠 	 发帖时间：2017-10 	 回复数量： 7 
标题： 【TBBT】整理了生活大爆炸1-11季。  🆎超淸 中英双字 	 链接：http://tieba.baidu.com//p/5652104447 	 发帖人：你的小掰呀 	 发帖时间：4-16 	 回复数量： 15 
标题： Sheldon应该是四人中婚姻地位最高的 	 链接：http://tieba.baidu.com//p/5645671768 	 发帖人：留黄书 	 发帖时间：4-12 	 回复数量： 7 
标题： supernatural第四季第十三集“伯纳黛道特”露了个脸 	 链接：http://tieba.baidu.com//p/4976545847 	 发帖人：谭文星JB 	 发帖时间：2017-02 	 回复数量： 13 
标题： 哇！这不是卡洛琳吗。。。她要跟拉杰什在一起了？ 	 链接：http://tieba.baidu.com//p/5628120603 	 发帖人：宝宝龙贝 	 发帖时间：4-1 	 回复数量： 4 
标题： 《生活大爆炸》你可能不知道的21件事 	 链接：http://tieba.baidu.com//p/4432137688 	 发帖人：嘿_屁仔PuChi 	 发帖时间：2016-03 	 回复数量： 374 
标题： 注意看右边克莱尔妹纸 	 链接：http://tieba.baidu.com//p/5555130371 	 发帖人：耳朵Moonpie 	 发帖时间：2-17 	 回复数量： 34 
标题： 又重新刷了一遍发现霍华德父亲的信 	 链接：http://tieba.baidu.com//p/5651636079 	 发帖人：白狼王da 	 发帖时间：4-16 	 回复数量： 0 
