标题： 【TBBT】整理了生活大爆炸1-11季🆎。 没看的吧友来拿 	 链接：http://tieba.baidu.com//p/5657933812 	 发帖人：你的小掰呀 	 发帖时间：14:10 	 回复数量： 2 
标题： 真的有地方可以领Vx 红 包，操作太简单了 	 链接：http://tieba.baidu.com//p/5657979080 	 发帖人：我系小蚊... 	 发帖时间：14:40 	 回复数量： 0 
标题： 【熟肉】TBBT S11E21 已出！！ 	 链接：http://tieba.baidu.com//p/5657974448 	 发帖人：那抹蓝贮 	 发帖时间：14:37 	 回复数量： 1 
标题： 到底更新到几集了？我怎么17集都没有。。 	 链接：http://tieba.baidu.com//p/5635326754 	 发帖人：宝了个蛋s... 	 发帖时间：4-6 	 回复数量： 5 
标题： 谁知道这个剧到底是不是最后一季？ 	 链接：http://tieba.baidu.com//p/4961562510 	 发帖人：asdbn123 	 发帖时间：2017-01 	 回复数量： 18 
标题： 在CBS官网买了几件衣服 	 链接：http://tieba.baidu.com//p/5644054380 	 发帖人：sunnny478 	 发帖时间：4-11 	 回复数量： 11 
标题： 万能的吧友，这是第几季第几集的？ 	 链接：http://tieba.baidu.com//p/5656801342 	 发帖人：耀眼的绿草 	 发帖时间：4-19 	 回复数量： 3 
标题： 看了好多季都没见过Howard的妈妈 	 链接：http://tieba.baidu.com//p/5657040155 	 发帖人：阴霾雨声 	 发帖时间：4-19 	 回复数量： 2 
标题： 想问一下潘妮演电影是哪一集？ 	 链接：http://tieba.baidu.com//p/5657325517 	 发帖人：blackalchemist 	 发帖时间：02:52 	 回复数量： 0 
标题： 有谁知道拉杰追求一位扫地大妈是哪一季的哪一集吗？ 	 链接：http://tieba.baidu.com//p/5656349777 	 发帖人：小布and展博 	 发帖时间：4-19 	 回复数量： 2 
标题： 霍金是要一直活在大爆炸里吗 	 链接：http://tieba.baidu.com//p/5650270429 	 发帖人：OctomaRon 	 发帖时间：4-15 	 回复数量： 6 
标题： raj的父母？ 	 链接：http://tieba.baidu.com//p/5653874309 	 发帖人：hljczq321 	 发帖时间：4-18 	 回复数量： 4 
标题： 请问里面有个男主，别人问他更喜欢谁时，他对比一些优缺点，然后 	 链接：http://tieba.baidu.com//p/5655147670 	 发帖人：女娲伦 	 发帖时间：4-18 	 回复数量： 1 
标题： 【TBBT】《生活大爆炸》第十一季熟肉 	 链接：http://tieba.baidu.com//p/5545877734 	 发帖人：玺子 	 发帖时间：2-9 	 回复数量： 166 
标题： 生活大爆炸测试题，你能撑到第几题？ 	 链接：http://tieba.baidu.com//p/5565359914 	 发帖人：是你的辣... 	 发帖时间：2-25 	 回复数量： 67 
标题： 【TBBT】《生活大爆炸》第十季熟肉 	 链接：http://tieba.baidu.com//p/5546422491 	 发帖人：玺子 	 发帖时间：2-9 	 回复数量： 224 
标题： 这个是谢耳朵妈妈么？ 	 链接：http://tieba.baidu.com//p/5656445630 	 发帖人：化骨棉花... 	 发帖时间：4-19 	 回复数量： 0 
标题： 美国人真的能看明白生活大爆炸中的英文？？ 	 链接：http://tieba.baidu.com//p/2208929847 	 发帖人：桃乐西GZ 	 发帖时间：2013-04 	 回复数量： 387 
标题： 大家觉得生活大爆炸和少年谢尔顿哪个好看？ 	 链接：http://tieba.baidu.com//p/5656191418 	 发帖人：Jennifer_Tung 	 发帖时间：4-19 	 回复数量： 3 
标题： 在超女的世界发现了小耳朵的妈妈 	 链接：http://tieba.baidu.com//p/5653357286 	 发帖人：koyxie 	 发帖时间：4-17 	 回复数量： 3 
标题： 生活大爆炸 sheldon的姐姐 	 链接：http://tieba.baidu.com//p/3811370262 	 发帖人：蜂蜜玫瑰... 	 发帖时间：2015-06 	 回复数量： 13 
