标题： 【2017圣诞节特别篇】BigBang圣诞前夜场景 	 链接：http://tieba.baidu.com//p/5491487196 	 发帖人：jonekingcafa 	 发帖时间：2017-12 	 回复数量： 6 
标题： 记得谢尔顿说过早期火车头下方的轨道铲叫什么来着？好像和牛有关 	 链接：http://tieba.baidu.com//p/5644467559 	 发帖人：梦羽灵泉 	 发帖时间：4-12 	 回复数量： 2 
标题： 谢耳朵是阿斯伯格综合征患者 	 链接：http://tieba.baidu.com//p/2994885166 	 发帖人：fdckyong 	 发帖时间：2014-04 	 回复数量： 13 
标题： 我今天才知道。。ponny的演员kelly cucco是个色 	 链接：http://tieba.baidu.com//p/5353219870 	 发帖人：FiveG 	 发帖时间：2017-10 	 回复数量： 12 
标题： 发现个细思极恐的事 	 链接：http://tieba.baidu.com//p/5350593438 	 发帖人：川前秀夫 	 发帖时间：2017-10 	 回复数量： 4 
标题： 谁知道这是哪一集？ 	 链接：http://tieba.baidu.com//p/5641587071 	 发帖人：风中的热... 	 发帖时间：4-10 	 回复数量： 12 
标题： 霍金去世了生活大爆炸会怎么表现 	 链接：http://tieba.baidu.com//p/5642665754 	 发帖人：de2836 	 发帖时间：4-11 	 回复数量： 3 
标题： 刚看到第六季，故事发生在加州，为什么竟然一个拉丁裔和黑人都没 	 链接：http://tieba.baidu.com//p/5601828271 	 发帖人：野到联合国 	 发帖时间：3-18 	 回复数量： 10 
标题： 我大raj慢慢开始承包笑点了 	 链接：http://tieba.baidu.com//p/5644744848 	 发帖人：特雷泽盖吧 	 发帖时间：4-12 	 回复数量： 1 
标题： 我发表了一篇视频贴，大伙来看看吧~ 	 链接：http://tieba.baidu.com//p/5644582823 	 发帖人：做最做最... 	 发帖时间：4-12 	 回复数量： 0 
标题： 【TBBT】整理了生活大爆炸1-11季。❗超淸 中英双字 	 链接：http://tieba.baidu.com//p/5643782460 	 发帖人：帕拉丁20 	 发帖时间：4-11 	 回复数量： 12 
标题： 央视将推“绿色”《生活大爆炸》 第一季翻译正在进行 	 链接：http://tieba.baidu.com//p/3016267029 	 发帖人：南十二国 	 发帖时间：2014-05 	 回复数量： 7 
标题： 有人知道色色碰吗 	 链接：http://tieba.baidu.com//p/5643529958 	 发帖人：fmh之歌45Z2 	 发帖时间：4-11 	 回复数量： 0 
